模型名称,上下文范围,输出长度范围,输入单价(百万tokens),输出单价(百万tokens),缓存存储(百万tokens/小时),缓存命中(百万tokens)
GLM-5.2,1M,,8元,28元,限时免费,2元
GLM-5.1,输入长度 [0, 32),,6元,24元,限时免费,1.3元
GLM-5.1,输入长度 [32+),,8元,28元,限时免费,2元
GLM-5-Turbo,输入长度 [0, 32),,5元,22元,限时免费,1.2元
GLM-5-Turbo,输入长度 [32+),,7元,26元,限时免费,1.8元
GLM-5,输入长度 [0, 32),,4元,18元,限时免费,1元
GLM-5,输入长度 [32+),,6元,22元,限时免费,1.5元
GLM-4.7,输入长度 [0, 32),输出长度 [0, 0.2),2元,8元,限时免费,0.4元
GLM-4.7,输入长度 [0, 32),输出长度 [0.2+),3元,14元,限时免费,0.6元
GLM-4.7,输入长度 [32, 200),,4元,16元,限时免费,0.8元
GLM-4.5-Air,输入长度 [0, 32),输出长度 [0, 0.2),0.8元,2元,限时免费,0.16元
GLM-4.5-Air,输入长度 [0, 32),输出长度 [0.2+),0.8元,6元,限时免费,0.16元
GLM-4.5-Air,输入长度 [32, 128),,1.2元,8元,限时免费,0.24元
